learner on mps, 10 workers, sims=16, study=on
[25/10000] warmup | plies 131 decisive 40% | buffer 3550 steps 0 | 166.3 g/min eta 1.0h
[1300/10000] loss 2.238 (pi 2.214 v 0.021 q 0.002 c 0.001) | plies 145 decisive 14% | buffer 193012 steps 2440 | 183.0 g/min eta 0.8h
[1325/10000] loss 2.233 (pi 2.210 v 0.021 q 0.002 c 0.001) | plies 144 decisive 14% | buffer 196614 steps 2486 | 183.7 g/min eta 0.8h
[1350/10000] loss 2.229 (pi 2.206 v 0.021 q 0.002 c 0.001) | plies 146 decisive 12% | buffer 200000 steps 2535 | 183.5 g/min eta 0.8h
[1375/10000] loss 2.228 (pi 2.205 v 0.021 q 0.002 c 0.001) | plies 147 decisive 12% | buffer 200000 steps 2586 | 184.0 g/min eta 0.8h
[1400/10000] loss 2.226 (pi 2.204 v 0.020 q 0.002 c 0.001) | plies 148 decisive 11% | buffer 200000 steps 2635 | 184.3 g/min eta 0.8h
[1425/10000] loss 2.229 (pi 2.207 v 0.020 q 0.002 c 0.001) | plies 148 decisive 12% | buffer 200000 steps 2684 | 184.6 g/min eta 0.8h
[1450/10000] loss 2.227 (pi 2.206 v 0.019 q 0.001 c 0.001) | plies 148 decisive 12% | buffer 200000 steps 2732 | 185.2 g/min eta 0.8h
[1475/10000] loss 2.226 (pi 2.204 v 0.020 q 0.001 c 0.001) | plies 148 decisive 12% | buffer 200000 steps 2779 | 185.5 g/min eta 0.8h
[1500/10000] loss 2.219 (pi 2.198 v 0.020 q 0.001 c 0.001) | plies 148 decisive 10% | buffer 200000 steps 2826 | 185.8 g/min eta 0.8h
  EVAL @1500: q-greedy 5-17-2 | policy-greedy 0-24-0 | search 2-6-0 (eval 27s)
[1525/10000] loss 2.213 (pi 2.192 v 0.019 q 0.001 c 0.001) | plies 151 decisive 8% | buffer 200000 steps 2876 | 174.0 g/min eta 0.8h
[1550/10000] loss 2.206 (pi 2.185 v 0.019 q 0.001 c 0.001) | plies 149 decisive 10% | buffer 200000 steps 2923 | 175.9 g/min eta 0.8h
[1575/10000] loss 2.205 (pi 2.185 v 0.019 q 0.001 c 0.001) | plies 147 decisive 12% | buffer 200000 steps 2971 | 177.7 g/min eta 0.8h
[1600/10000] loss 2.202 (pi 2.182 v 0.019 q 0.001 c 0.001) | plies 146 decisive 12% | buffer 200000 steps 3018 | 179.5 g/min eta 0.8h
[1625/10000] loss 2.195 (pi 2.175 v 0.018 q 0.001 c 0.001) | plies 148 decisive 11% | buffer 200000 steps 3069 | 179.9 g/min eta 0.8h
[1650/10000] loss 2.188 (pi 2.168 v 0.018 q 0.001 c 0.001) | plies 148 decisive 10% | buffer 200000 steps 3118 | 180.0 g/min eta 0.8h
[1675/10000] loss 2.179 (pi 2.160 v 0.018 q 0.001 c 0.001) | plies 148 decisive 10% | buffer 200000 steps 3166 | 180.4 g/min eta 0.8h
[1700/10000] loss 2.176 (pi 2.157 v 0.018 q 0.001 c 0.001) | plies 149 decisive 10% | buffer 200000 steps 3214 | 181.0 g/min eta 0.8h
[1725/10000] loss 2.169 (pi 2.151 v 0.017 q 0.001 c 0.001) | plies 146 decisive 11% | buffer 200000 steps 3260 | 181.3 g/min eta 0.8h
[1750/10000] loss 2.163 (pi 2.145 v 0.017 q 0.001 c 0.001) | plies 147 decisive 10% | buffer 200000 steps 3308 | 181.5 g/min eta 0.8h
[1775/10000] loss 2.159 (pi 2.141 v 0.016 q 0.001 c 0.001) | plies 148 decisive 8% | buffer 200000 steps 3356 | 181.9 g/min eta 0.8h
[1800/10000] loss 2.159 (pi 2.142 v 0.016 q 0.001 c 0.001) | plies 149 decisive 10% | buffer 200000 steps 3405 | 182.2 g/min eta 0.8h
[1825/10000] loss 2.159 (pi 2.141 v 0.016 q 0.001 c 0.001) | plies 146 decisive 11% | buffer 200000 steps 3452 | 182.4 g/min eta 0.7h
[1850/10000] loss 2.157 (pi 2.140 v 0.016 q 0.001 c 0.001) | plies 145 decisive 12% | buffer 200000 steps 3497 | 183.0 g/min eta 0.7h
[1875/10000] loss 2.161 (pi 2.144 v 0.016 q 0.001 c 0.001) | plies 144 decisive 13% | buffer 200000 steps 3545 | 183.2 g/min eta 0.7h
[1900/10000] loss 2.153 (pi 2.136 v 0.016 q 0.001 c 0.001) | plies 144 decisive 14% | buffer 200000 steps 3593 | 183.8 g/min eta 0.7h
[1925/10000] loss 2.153 (pi 2.136 v 0.016 q 0.001 c 0.001) | plies 144 decisive 16% | buffer 200000 steps 3640 | 184.2 g/min eta 0.7h
[1950/10000] loss 2.147 (pi 2.130 v 0.016 q 0.001 c 0.001) | plies 142 decisive 18% | buffer 200000 steps 3686 | 184.5 g/min eta 0.7h
