learner on mps, 10 workers, sims=16
[25/10000] warmup | plies 118 decisive 48% | buffer 2940 steps 0 | 213.4 g/min eta 0.8h
[1850/10000] loss 2.299 (pi 2.277 v 0.020 q 0.001 c 0.001) | plies 149 decisive 15% | buffer 200000 steps 3478 | 194.6 g/min eta 0.7h
[1875/10000] loss 2.297 (pi 2.275 v 0.021 q 0.001 c 0.001) | plies 149 decisive 16% | buffer 200000 steps 3528 | 194.7 g/min eta 0.7h
[1900/10000] loss 2.291 (pi 2.269 v 0.021 q 0.001 c 0.001) | plies 150 decisive 16% | buffer 200000 steps 3578 | 194.6 g/min eta 0.7h
[1925/10000] loss 2.289 (pi 2.267 v 0.020 q 0.001 c 0.001) | plies 150 decisive 16% | buffer 200000 steps 3626 | 194.8 g/min eta 0.7h
[1950/10000] loss 2.281 (pi 2.259 v 0.020 q 0.001 c 0.001) | plies 149 decisive 16% | buffer 200000 steps 3674 | 195.0 g/min eta 0.7h
[1975/10000] loss 2.278 (pi 2.256 v 0.020 q 0.001 c 0.001) | plies 149 decisive 16% | buffer 200000 steps 3723 | 195.4 g/min eta 0.7h
[2000/10000] loss 2.267 (pi 2.245 v 0.020 q 0.001 c 0.001) | plies 149 decisive 14% | buffer 200000 steps 3772 | 195.5 g/min eta 0.7h
  EVAL @2000: q-greedy 2-22-0 | policy-greedy 0-24-0 | search 5-3-0 (eval 28s)
[2025/10000] loss 2.260 (pi 2.238 v 0.021 q 0.001 c 0.001) | plies 149 decisive 15% | buffer 200000 steps 3818 | 185.7 g/min eta 0.7h
[2050/10000] loss 2.256 (pi 2.234 v 0.020 q 0.001 c 0.001) | plies 150 decisive 14% | buffer 200000 steps 3866 | 187.2 g/min eta 0.7h
[2075/10000] loss 2.248 (pi 2.227 v 0.020 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 3914 | 188.7 g/min eta 0.7h
[2100/10000] loss 2.248 (pi 2.227 v 0.020 q 0.001 c 0.001) | plies 149 decisive 14% | buffer 200000 steps 3962 | 190.2 g/min eta 0.7h
[2125/10000] loss 2.242 (pi 2.221 v 0.020 q 0.001 c 0.001) | plies 148 decisive 13% | buffer 200000 steps 4010 | 190.7 g/min eta 0.7h
[2150/10000] loss 2.240 (pi 2.219 v 0.019 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 4059 | 190.9 g/min eta 0.7h
[2175/10000] loss 2.236 (pi 2.215 v 0.020 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 4109 | 191.0 g/min eta 0.7h
