warm start from runs/run100k/ckpt_100000.pt (2,773,699 params)
learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=32, net 2,773,699 params, study=on, gate at 0 games
  GATE OPEN @1: study/resignation enabled
[25/60000] warmup | plies 49 decisive 96% | buffer 1229 steps 0 | 12.3 g/min eta 81.5h
[1750/60000] loss 1.849 (pi 1.463 v 0.071 q 0.026 c 0.055) | plies 99 decisive 80% | buffer 200000 steps 3052 | 64.1 g/min eta 15.2h
[1775/60000] loss 1.856 (pi 1.467 v 0.071 q 0.027 c 0.054) | plies 98 decisive 82% | buffer 200000 steps 3094 | 64.1 g/min eta 15.2h
[1800/60000] loss 1.857 (pi 1.472 v 0.071 q 0.027 c 0.053) | plies 99 decisive 80% | buffer 200000 steps 3141 | 64.3 g/min eta 15.1h
[1825/60000] loss 1.875 (pi 1.486 v 0.071 q 0.027 c 0.053) | plies 99 decisive 79% | buffer 200000 steps 3181 | 64.2 g/min eta 15.1h
[1850/60000] loss 1.890 (pi 1.496 v 0.072 q 0.027 c 0.052) | plies 98 decisive 80% | buffer 200000 steps 3226 | 64.2 g/min eta 15.1h
[1875/60000] loss 1.908 (pi 1.512 v 0.072 q 0.028 c 0.051) | plies 98 decisive 82% | buffer 200000 steps 3272 | 64.4 g/min eta 15.0h
[1900/60000] loss 1.914 (pi 1.513 v 0.073 q 0.028 c 0.050) | plies 98 decisive 82% | buffer 200000 steps 3317 | 64.6 g/min eta 15.0h
[1925/60000] loss 1.918 (pi 1.516 v 0.073 q 0.028 c 0.050) | plies 99 decisive 82% | buffer 200000 steps 3361 | 64.4 g/min eta 15.0h
[1950/60000] loss 1.926 (pi 1.526 v 0.074 q 0.028 c 0.050) | plies 97 decisive 84% | buffer 200000 steps 3409 | 64.4 g/min eta 15.0h
[1975/60000] loss 1.921 (pi 1.519 v 0.075 q 0.028 c 0.051) | plies 98 decisive 82% | buffer 200000 steps 3455 | 64.4 g/min eta 15.0h
[2000/60000] loss 1.926 (pi 1.527 v 0.075 q 0.028 c 0.050) | plies 98 decisive 82% | buffer 200000 steps 3500 | 64.4 g/min eta 15.0h
  EVAL @2000: q-greedy 8-16-0 | policy-greedy 7-17-0 | search 8-0-0 (eval 58s)
[2025/60000] loss 1.932 (pi 1.531 v 0.076 q 0.029 c 0.050) | plies 99 decisive 82% | buffer 200000 steps 3543 | 62.9 g/min eta 15.4h
[2050/60000] loss 1.947 (pi 1.547 v 0.075 q 0.029 c 0.050) | plies 101 decisive 82% | buffer 200000 steps 3589 | 63.5 g/min eta 15.2h
[2075/60000] loss 1.961 (pi 1.559 v 0.076 q 0.029 c 0.050) | plies 104 decisive 78% | buffer 200000 steps 3641 | 64.0 g/min eta 15.1h
[2100/60000] loss 1.956 (pi 1.556 v 0.076 q 0.029 c 0.051) | plies 104 decisive 78% | buffer 200000 steps 3684 | 64.6 g/min eta 14.9h
