learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=16, net 2,772,161 params, study=on, gate at 2000 games
[25/100000] warmup | plies 42 decisive 100% | buffer 1054 steps 0 | 19.0 g/min eta 87.6h
[1700/100000] loss 2.916 (pi 2.857 v 0.050 q 0.007 c 0.004) | plies 140 decisive 28% | buffer 200000 steps 2996 | 104.0 g/min eta 15.7h
[1725/100000] loss 2.907 (pi 2.848 v 0.051 q 0.007 c 0.004) | plies 139 decisive 30% | buffer 200000 steps 3039 | 104.0 g/min eta 15.8h
[1750/100000] loss 2.892 (pi 2.833 v 0.051 q 0.006 c 0.004) | plies 137 decisive 31% | buffer 200000 steps 3082 | 104.1 g/min eta 15.7h
[1775/100000] loss 2.878 (pi 2.818 v 0.051 q 0.006 c 0.004) | plies 136 decisive 32% | buffer 200000 steps 3128 | 104.4 g/min eta 15.7h
[1800/100000] loss 2.863 (pi 2.803 v 0.052 q 0.005 c 0.004) | plies 134 decisive 34% | buffer 200000 steps 3174 | 104.1 g/min eta 15.7h
[1825/100000] loss 2.850 (pi 2.791 v 0.052 q 0.005 c 0.004) | plies 133 decisive 34% | buffer 200000 steps 3218 | 104.4 g/min eta 15.7h
[1850/100000] loss 2.831 (pi 2.772 v 0.052 q 0.005 c 0.004) | plies 137 decisive 31% | buffer 200000 steps 3266 | 105.0 g/min eta 15.6h
[1875/100000] loss 2.816 (pi 2.758 v 0.051 q 0.005 c 0.004) | plies 136 decisive 32% | buffer 200000 steps 3313 | 105.4 g/min eta 15.5h
[1900/100000] loss 2.811 (pi 2.753 v 0.051 q 0.005 c 0.004) | plies 136 decisive 33% | buffer 200000 steps 3358 | 105.5 g/min eta 15.5h
[1925/100000] loss 2.793 (pi 2.735 v 0.051 q 0.004 c 0.005) | plies 137 decisive 32% | buffer 200000 steps 3403 | 105.8 g/min eta 15.5h
[1950/100000] loss 2.787 (pi 2.730 v 0.051 q 0.004 c 0.005) | plies 137 decisive 30% | buffer 200000 steps 3447 | 106.0 g/min eta 15.4h
[1975/100000] loss 2.781 (pi 2.724 v 0.051 q 0.004 c 0.004) | plies 136 decisive 32% | buffer 200000 steps 3493 | 106.0 g/min eta 15.4h
  GATE OPEN @2000: study/resignation enabled
[2000/100000] loss 2.775 (pi 2.717 v 0.051 q 0.004 c 0.005) | plies 136 decisive 30% | buffer 200000 steps 3538 | 106.2 g/min eta 15.4h
  EVAL @2000: q-greedy 1-23-0 | policy-greedy 0-24-0 | search 7-1-0 (eval 41s)
