games,steps,buffer,avg_plies,decisive_rate,loss,loss_pi,loss_v,loss_q,loss_cons,q_w,q_d,q_l,pol_w,pol_d,pol_l,search_w,search_d,search_l,games_per_min
64000,115662,200000,101.1,0.735,1.7529,1.639,0.0923,0.0138,0.0157,5,19,0,5,19,0,8,0,0,118.53
65000,117404,200000,100.8,0.755,1.7562,1.6415,0.0925,0.0143,0.0157,12,12,0,9,15,0,8,0,0,118.6
66000,119148,200000,104.4,0.715,1.7467,1.6303,0.0947,0.014,0.0155,2,22,0,6,18,0,8,0,0,118.64
67000,120879,200000,104.6,0.735,1.7143,1.599,0.0936,0.0139,0.0156,4,20,0,7,17,0,8,0,0,118.74
68000,122575,200000,101.6,0.77,1.7027,1.5884,0.0931,0.0138,0.0149,6,18,0,10,14,0,8,0,0,118.81
69000,124334,200000,104.5,0.72,1.6955,1.5806,0.0932,0.014,0.0154,6,18,0,11,13,0,8,0,0,118.84
70000,126137,200000,110.4,0.675,1.7113,1.5973,0.091,0.0144,0.0169,7,17,0,7,17,0,8,0,0,118.81
71000,127944,200000,114.0,0.695,1.7185,1.6059,0.09,0.0142,0.0168,0,24,0,7,17,0,8,0,0,118.78
72000,129767,200000,112.3,0.685,1.7275,1.6124,0.0923,0.0146,0.0165,1,23,0,6,18,0,8,0,0,118.77
73000,131596,200000,112.6,0.695,1.7188,1.6074,0.0897,0.0137,0.0159,4,20,0,14,10,0,8,0,0,118.74
74000,133401,200000,112.2,0.75,1.7125,1.6,0.0903,0.0141,0.0162,3,21,0,7,17,0,8,0,0,118.72
75000,135239,200000,112.6,0.7,1.6808,1.5722,0.0873,0.0137,0.0151,7,17,0,8,16,0,8,0,0,118.66
76000,137083,200000,112.8,0.68,1.656,1.5532,0.082,0.0132,0.0151,2,22,0,8,16,0,8,0,0,118.65
77000,138851,200000,110.0,0.695,1.6484,1.5457,0.0825,0.0128,0.0146,2,22,0,6,18,0,8,0,0,118.64
78000,140642,200000,109.3,0.725,1.6374,1.5342,0.0831,0.013,0.0145,4,20,0,13,11,0,8,0,0,118.64
79000,142487,200000,112.0,0.725,1.6174,1.5126,0.084,0.0132,0.0152,2,22,0,9,15,0,8,0,0,118.61
80000,144272,200000,111.0,0.71,1.6197,1.5117,0.0867,0.0137,0.0151,3,21,0,8,16,0,8,0,0,118.56
81000,146033,200000,108.1,0.705,1.594,1.4878,0.0857,0.0132,0.0147,4,20,0,6,18,0,8,0,0,118.61
82000,147730,200000,104.6,0.685,1.5607,1.4558,0.0841,0.0132,0.0153,2,22,0,10,14,0,8,0,0,118.7
83000,149410,200000,105.2,0.755,1.5322,1.4275,0.0846,0.0127,0.0149,4,20,0,7,17,0,8,0,0,118.77
84000,151125,200000,104.2,0.74,1.4992,1.3957,0.0833,0.013,0.0142,2,22,0,10,14,0,8,0,0,118.82
